UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
GO,861647/2024,3D MINERALS LTDA,TERRAS RARAS,AUTORIZAÇÃO DE PESQUISA,1864.84,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-13.2616,-46.9091
GO,861824/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,615.15,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.9123,-49.6853
GO,861643/2024,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,1035.41,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-15.819,-51.7043
GO,861640/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1809.55,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-14.1567,-49.2527
GO,861840/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,170.35,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-14.8729,-49.631
GO,861822/2024,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,1706.16,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-14.3207,-49.4707
GO,861827/2024,3D MINERALS LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,999.32,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.4878,-50.0681
GO,861823/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1382.53,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.9207,-49.7149
GO,861619/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1948.42,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/01/2026,-15.0011,-49.7396
GO,861646/2024,3D MINERALS LTDA,TERRAS RARAS,AUTORIZAÇÃO DE PESQUISA,1607.9,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-13.2923,-46.8189
GO,861620/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1980.3,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-14.9483,-49.836
GO,861820/2024,3D MINERALS LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,945.44,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.5077,-50.0857
GO,861826/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1548.0,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.8899,-49.7869
GO,861648/2024,3D MINERALS LTDA,TERRAS RARAS,AUTORIZAÇÃO DE PESQUISA,976.9,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-13.2072,-46.9066
GO,861645/2024,3D MINERALS LTDA,TERRAS RARAS,AUTORIZAÇÃO DE PESQUISA,1793.5,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-13.6032,-47.0465
GO,861828/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,1756.68,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-14.5455,-50.0821
GO,861644/2024,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,1863.51,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-14.5142,-48.5265
GO,861821/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1601.33,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-14.2649,-49.5744
GO,861951/2024,3D MINERALS LTDA,OURO,REQUERIMENTO DE PESQUISA,193.46,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 14/12/2024,-14.5825,-50.0375
