dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
7.8,ALUIZIO ALFREDO ALVES DUTRA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,774.39,832610/2009,-20.3998,-43.5583
7.9,BHP BILLITON BRASIL LTDA.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,108.79,831525/2004,-20.3726,-43.5738
7.9,CALBRAX CALCARIO AGRICOLA LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,56.2,832820/2021,-20.4037,-43.7035
7.9,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,59.47,831547/2009,-20.461,-43.5674
8.0,ISHIZO EMPREENDIMENTOPARTICIPAÇÕES LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,50.0,830122/1981,-20.4278,-43.706
8.0,José Francisco Pereira da Silva de Pádua,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,1.87,830929/2009,-20.3538,-43.6007
8.0,BHP BILLITON BRASIL LTDA.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,965.66,831546/2002,-20.362,-43.5848
8.0,MG DRILL DETONACOES E PERFURACOES LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,92.9,830812/2012,-20.3686,-43.6845
8.0,ADMITEC SERVICOS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,46.56,832011/2024,-20.3833,-43.564
8.0,"GOLD MINERACAO, PARTICIPACOES E EMPREENDIMENTOS S/A",MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,545.34,834268/2008,-20.4268,-43.5535
8.1,EMPABRA EMPRESA DE MINERACAO PAU BRANCO LTDA,BAUXITA,CONCESSÃO DE LAVRA,85.16,3576/1937,-20.4662,-43.6899
8.2,MINERIOS E JAZIDAS MINERAIS FME LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,192.42,831498/2013,-20.3808,-43.6963
8.2,GERDAU ACOMINAS S/A,FERRO,CONCESSÃO DE LAVRA,40.79,4575/1935,-20.4299,-43.7084
8.2,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,0.49,300853/2025,-20.4429,-43.7053
8.3,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.01,831547/2009,-20.4588,-43.5616
8.4,BHP BILLITON BRASIL LTDA.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,92.43,831611/2020,-20.3639,-43.5761
8.4,TELMO NAMEN LOPES FILHO,OURO,REQUERIMENTO DE PESQUISA,45.57,831100/2021,-20.3719,-43.6919
8.4,CERTA PARTICIPACOES E INTERMEDIACOES LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,15.1,832417/2007,-20.3725,-43.5665
8.4,BHP BILLITON BRASIL LTDA.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.74,832892/2005,-20.4895,-43.6627
8.5,GEOPETRA GEOLOGIA E CONSULTORIA MINERAL LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,7.88,830303/2025,-20.3825,-43.5584
8.6,BHP BILLITON BRASIL LTDA.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1203.3,830949/2006,-20.4458,-43.5518
8.6,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.06,831547/2009,-20.4524,-43.5549
8.6,AREIAL TRES MUNHOS LTDA,AREIA,LICENCIAMENTO,40.86,833095/2013,-20.4637,-43.5618
8.7,ANTONIO MARCELLO DE BORGES NUNES-FIRMA  INDIVIDUAL,CALCÁRIO,CONCESSÃO DE LAVRA,118.48,7436/1944,-20.4476,-43.7083
8.7,LUCAS FRAGA CRUZ CERQUEIRA,MINÉRIO DE OURO,REQUERIMENTO DE LAVRA GARIMPEIRA,37.76,830935/2025,-20.4886,-43.5902
8.8,Eunice Ricaldoni Lima Cardoso,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,206.86,834755/2011,-20.3405,-43.6237
8.9,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,225.73,830652/2001,-20.392,-43.7097
8.9,COMPANHIA SIDERURGICA NACIONAL,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,144.45,433092/1956,-20.3735,-43.5609
8.9,SILICON MINING EXTRACAO E COMERCIO DE MINERIO LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,13.22,830199/2026,-20.4263,-43.7158
9.0,ACTECH - ALUMINA CHEMICAL TECHNOLOGY LTDA.,MINÉRIO DE FERRO,DIREITO DE REQUERER A LAVRA,71.5,833841/2008,-20.4012,-43.5455
9.0,ANTONIO VITOR LIBERATO DOS SANTOS,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,538.81,832376/2014,-20.4359,-43.7146
9.3,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,0.13,803394/1976,-20.443,-43.716
9.3,Gilberto Transportes Ltda,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,760.78,833863/2008,-20.3971,-43.5437
